cas,inchi,inchikey,smiles,formula,definition,checked,alw_cname,che_cname,che_id,chl_id,chs_id,drb_id,eea_cname,ein_id,etx_cname,etx_id,ipc_name,puc_cid,wid_cname,wid_id,zvg_id,uii_id
142-28-9,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2,YHRUOJUYPBUZOS-UHFFFAOYSA-N,ClCCCCl,C3H6Cl2,A chloroalkane that is propane in which a hydrogen from each of the terminal methyl groups has been replaced by a chlorine.,,"","1,3-dichloropropane",CHEBI:137978,CHEMBL157427,8543,,"1,3-dichloropropane",205-531-3,"1,3-Dichlorpropan",2113,"1,3-dichloropropane",8881,"1,3-dichloropropane",Q2436290,29600,AJ1HQ2GUCP
41318-75-6,InChI=1S/C12H7Br3O/c13-8-1-4-10(5-2-8)16-12-6-3-9(14)7-11(12)15/h1-7H,UPNBETHEXPIWQX-UHFFFAOYSA-N,O(C=1C=CC(=CC1Br)Br)C=2C=CC(=CC2)Br,C12H7Br3O,"A polybromodiphenyl ether that is diphenyl ether in which the hydrogens at the 2, 4, and 4' positions have been replaced by bromines.",,"","4-bromophenyl 2,4-dibromophenyl ether",CHEBI:138036,"",,,"BDE 28 (2,4,4'-tribromodiphenyl ether)","","",,"4-bromophenyl 2,4-dibromophenyl ether",,"","",,""
182346-21-0,InChI=1S/C12H5Br5O/c13-6-1-3-9(8(15)5-6)18-10-4-2-7(14)11(16)12(10)17/h1-5H,DMLQSUZPTTUUDP-UHFFFAOYSA-N,O(C=1C=CC(=C(C1Br)Br)Br)C=2C=CC(=CC2Br)Br,C12H5Br5O,"A polybromodiphenyl ether that is diphenyl ether in which the hydrogens at the 2, 3, 4, 2', and 4' positions have been replaced by bromines.",,"","2,4-dibromophenyl 2,3,4-tribromophenyl ether",CHEBI:138064,"",,,"BDE 85 (2,2’,3,4,4’-pentabromodiphenyl ether)","","",,"2,4-dibromophenyl 2,3,4-tribromophenyl ether",,"","",,""
189084-64-8,InChI=1S/C12H5Br5O/c13-6-1-2-11(8(15)3-6)18-12-9(16)4-7(14)5-10(12)17/h1-5H,NSKIRYMHNFTRLR-UHFFFAOYSA-N,O(C=1C(=CC(=CC1Br)Br)Br)C=2C=CC(=CC2Br)Br,C12H5Br5O,"A polybromodiphenyl ether that is diphenyl ether in which the hydrogens at the 2, 4, 6, 2', and 4' positions have been replaced by bromines.",,"","2,4-dibromophenyl 2,4,6-tribromophenyl ether",CHEBI:138065,"",,,"BDE 100 (2,2’,4,4’,6-pentabromodiphenyl ether)","","",,"2,4-dibromophenyl 2,4,6-tribromophenyl ether",,"","",,""
6569-05-05,"InChI=1S/C19H12F4N2O2/c20-13-7-9-14(10-8-13)24-18(26)16-5-2-6-17(25-16)27-15-4-1-3-12(11-15)19(21,22)23/h1-11H,(H,24,26)",CWKFPEBMTGKLKX-UHFFFAOYSA-N,N1=C(C=CC=C1C(=O)NC2=CC=C(C=C2)F)OC3=CC=CC(=C3)C(F)(F)F,C19H12F4N2O2,"A pyridinecarboxamide resulting from the formal condensation of the carboxy group of 6-(m-trifluoromethylphenoxy)picolinic acid with the amino group of p-fluoroaniline. A carotenoid biosynthesis inhibitor, it is used as a herbicide for the control of broad-leaved weeds in cereal crops.",,"",picolinafen,CHEBI:138736,"",2542991,,Picolinafen,604-030-0,Picolinafen,8795,N-(4-fluorophenyl)-6-[3-(trifluoromethyl)phenoxy]pyridine-2-carboxamide,3294375,picolinafen,Q2092340,535613,VJE2EX3SNN
5240-03-03,"","","","","A group of compounds based on the naphthalene ring system where one or more hydrogen atoms have been replaced by chlorine. The generic molecular formula is C10H8-nCln, where n = 1-8. There are 75 possible chlorinated naphthalenes and they are commonly used in the electrical industry and as additives.",,"",chlorinated naphthalene,CHEBI:156062,"",,,"Naphthalene, chloro derivatives","","",,"",,"","",,""
1975-09-02,InChI=1S/CH2Cl2/c2-1-3/h1H2,YMWUJEATGCHHMB-UHFFFAOYSA-N,[H]C([H])(Cl)Cl,CH2Cl2,"A member of the class of chloromethanes that is methane in which two of the hydrogens have been replaced by chlorine. A dense, non-flammible colourless liquid at room temperature (b.p. 40degreeC, d = 1.33) which is immiscible with water, it is widely used as a solvent, a paint stripper, and for the removal of caffeine from coffee and tea.",,"",dichloromethane,CHEBI:15767,"",6104,,Dichloromethane,"",Dichlormethan,8660,dichloromethane,6344,Dichloromethane,Q15586852,,""
24959-67-9,InChI=1S/BrH/h1H/p-1,CPELXLSAUQHCOX-UHFFFAOYSA-M,[Br-],Br,"",,"",bromide,CHEBI:15858,"",254,,Bromide,"","",,bromide,259,Bromide,Q2173337,,""
108-95-2,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Oc1ccccc1,C6H6O,An organic hydroxy compound that consists of benzene bearing a single hydroxy substituent. The parent of the class of phenols.,,"",phenol,CHEBI:15882,"",971,,Phenol,"",Phenol,8658,phenol,996,Phenol,Q21761685,,""
1912-24-9,"InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)",MXWJVTOOROXGIU-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NC(C)C)n1,C8H14ClN5,"A diamino-1,3,5-triazine that is 1,3,5-triazine-2,4-diamine substituted by a chloro group at position 6 while one of hydrogens of each amino group is replaced respectively by an ethyl and a propan-2-yl group.",,atrazine,atrazine,CHEBI:15930,"",2169,,Atrazine,"",Atrazin,8397,"6-chloro-N-ethyl-N'-(propan-2-yl)-1,3,5-triazine-2,4-diamine",2256,Atrazine,Q73773769,,""
100-41-4,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCc1ccccc1,C8H10,An  alkylbenzene carrying an ethyl substituent. It is a constituent of coal tar and petroleum.,,"",ethylbenzene,CHEBI:16101,"",7219,,Ethylbenzene,"",Ethylbenzene,8926,ethylbenzene,7500,Ethylbenzene,Q55966980,,""
50-29-3,"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",YVGGHNCTFXOJCH-UHFFFAOYSA-N,Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,C14H9Cl5,"A chlorophenylethane that is 1,1,1-trichloro-2,2-diphenylethane substituted by additional chloro substituents at positions 4 of the phenyl substituents. It is a commonly used organochlorine insecticide.",,DDT,DDT,CHEBI:16130,"",,,"DDT, p,p'","",DDT,7325,"1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",,"","",,""
7664-41-7,InChI=1S/H3N/h1H3,QGZKDVFQNNGYKY-UHFFFAOYSA-N,[H]N([H])[H],H3N,An azane that consists of a single nitrogen atom covelently bonded to three hydrogen atoms.,,"",ammonia,CHEBI:16134,"",217,,Ammonia,"",Ammoniak,4868,ammonia,222,Ammonia,Q21996249,,""
7783-06-04,InChI=1S/H2S/h1H2,RWSOTUBLDIXVET-UHFFFAOYSA-N,[H]S[H],H2S,"A sulfur hydride consisting of a single sulfur atom bonded to two hydrogen atoms. A highly poisonous, flammable gas with a characteristic odour of rotten eggs, it is often produced by bacterial decomposition of organic matter in the absence of oxygen.",,"",hydrogen sulfide,CHEBI:16136,CHEMBL1200739,391,,Hydrogen sulphide,231-977-3,Schwefelwasserstoff,7566,dihydridosulfur,402,hydrogen sulfide,Q170591,1130,YY9FVM7NSN
7439-97-6,InChI=1S/Hg,QSHDDOUJBYECFT-UHFFFAOYSA-N,[Hg],Hg,Elemental mercury of oxidation state zero.,,"",mercury(0),CHEBI:16170,"",,,Mercury and its compounds,"",Quecksilber,7547,mercury,,"","",,""
